,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
7879,29,0.928,0.319,0.79,8.6e-05,0.13,0.908,99.838,231040,-9.616
24100,45,0.713,0.0318,0.0377,0.0,0.102,0.855,141.691,272933,-3.3415
9089,59,0.857,0.246,0.0402,0.0,0.425,0.579,93.071,261267,-2.77
10290,53,0.621,0.277,0.148,1.38e-06,0.158,0.47,141.996,145638,-1.184
8817,59,0.838,0.219,0.341,0.0,0.0578,0.394,120.073,268487,-2.517
3909,1,0.564,0.0445,0.000176,0.0308,0.344,0.205,145.99,271241,-1.9040000000000001
93,30,0.802,0.0715,0.272,0.0,0.119,0.376,100.001,157202,-2.768
24507,58,0.705,0.202,0.125,1.72e-06,0.153,0.581,82.011,229773,-3.4555
22697,63,0.82,0.0481,0.156,0.0,0.101,0.872,109.374,207307,-3.9929999999999994
3313,51,0.773,0.0315,0.156,0.00998,0.0938,0.829,95.019,296827,-2.9975
30210,97,0.704,0.0994,0.902,0.657,0.106,0.243,120.006,245426,-7.1145000000000005
1335,76,0.727,0.0718,0.065,0.0,0.106,0.629,147.983,171840,-3.401
20224,1,0.846,0.0647,0.00031,0.89,0.0579,0.393,127.999,352505,-1.7254999999999998
19439,71,0.812,0.0533,0.143,0.0,0.132,0.701,125.941,238720,-5.1114999999999995
10182,56,0.775,0.386,0.58,0.0,0.165,0.537,150.03,194400,-3.7364999999999995
13532,58,0.855,0.0316,0.342,0.00732,0.0841,0.962,114.867,271200,-2.523
25507,43,0.739,0.0412,0.508,0.00101,0.12,0.25,74.956,137973,-4.3309999999999995
28677,69,0.747,0.0642,0.0104,0.763,0.0541,0.177,126.036,175714,-1.6799999999999997
5704,32,0.638,0.115,0.897,0.849,0.0731,0.48,79.888,174000,-8.85555
14427,60,0.715,0.0348,0.438,0.0859,0.0923,0.586,122.036,187641,-3.2305
22431,25,0.797,0.0834,0.153,0.182,0.0865,0.67,129.982,223425,-3.9029999999999996
13734,74,0.36,0.026,0.0626,9.22e-05,0.172,0.317,74.807,264067,-4.311999999999999
30207,98,0.764,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,-3.4444999999999997
