,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
14686,46,0.605,0.0297,0.0902,0.244,0.149,0.865,90.179,218133,-6.529
28961,62,0.631,0.0754,0.0154,0.00789,0.263,0.365,137.982,188696,-2.56
19506,74,0.819,0.224,0.0244,0.0,0.0916,0.612,104.906,195429,-2.7025
19398,15,0.771,0.062,0.104,0.000641,0.107,0.574,90.025,204027,-5.2595
4321,28,0.581,0.0418,0.883,0.0,0.0745,0.545,144.212,202345,-4.1194999999999995
20102,85,0.64,0.187,0.124,0.0,0.0802,0.548,92.977,197867,-3.7325
24774,25,0.685,0.0576,0.0326,0.0119,0.0616,0.968,114.914,234973,-3.1155
10323,42,0.253,0.056,0.159,0.0157,0.155,0.132,70.515,214400,-2.6265
22440,47,0.582,0.0491,0.722,0.0,0.116,0.354,137.179,201267,-5.101500000000001
16870,58,0.696,0.0631,0.563,2.2e-05,0.985,0.711,131.1,271813,-1.577
19442,56,0.736,0.102,0.278,0.0,0.0854,0.69,94.959,184467,-2.197
18245,65,0.404,0.0451,0.327,0.03,0.155,0.576,149.604,184547,-4.8870000000000005
28431,41,0.648,0.0655,8.75e-05,0.497,0.105,0.183,128.002,203438,-1.2865
14041,63,0.767,0.0474,0.0399,0.485,0.0949,0.66,103.03,238183,-5.4555
6290,64,0.753,0.0753,0.444,0.0,0.117,0.745,139.962,123560,-2.6454999999999997
2776,26,0.385,0.0401,0.223,5.19e-06,0.26,0.13,79.508,224040,-3.1310000000000002
24016,34,0.688,0.102,0.00187,6.53e-05,0.172,0.61,80.021,166698,-1.6555
13070,69,0.409,0.12,0.00719,0.00105,0.0823,0.37,145.085,290960,-2.2595
9018,98,0.896,0.0559,0.104,0.0,0.79,0.642,116.971,196653,-3.0505
4774,68,0.761,0.026,0.0696,0.0,0.0784,0.875,100.022,200400,-2.7725
4212,44,0.733,0.13,0.00582,5e-05,0.0583,0.633,120.015,228879,-2.2920000000000003
3117,45,0.662,0.349,0.159,0.0,0.337,0.503,169.088,168639,-3.7095000000000002
31683,19,0.908,0.0612,0.000215,0.586,0.0234,0.704,128.014,337500,-3.179
4658,56,0.722,0.0342,0.187,8.96e-06,0.125,0.255,110.065,234293,-2.3449999999999998
14946,53,0.616,0.0613,0.0135,0.000174,0.119,0.405,126.535,266627,-1.7495000000000003
6125,77,0.886,0.145,0.0312,0.00099,0.0906,0.23,108.034,177184,-4.8005
1843,52,0.547,0.0693,0.0302,5.26e-05,0.335,0.892,168.98,153995,-1.154
22828,70,0.832,0.189,0.665,1.02e-05,0.0822,0.83,142.111,257646,-1.7879999999999998
20040,29,0.922,0.241,0.583,5.6e-05,0.0732,0.871,100.576,274667,-5.3005
16257,45,0.8,0.0368,0.0105,0.000468,0.0782,0.562,122.982,232195,-1.9739999999999998
20881,58,0.759,0.191,0.121,0.0,0.0888,0.626,120.112,185834,-3.654
12541,65,0.292,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395,-2.9699999999999998
27520,29,0.649,0.0557,0.000648,0.299,0.101,0.691,128.02,162656,-1.249
7283,26,0.635,0.48,0.0844,0.0,0.143,0.774,156.099,223147,-2.404
18078,63,0.546,0.0819,0.474,0.0,0.353,0.825,95.027,215000,-3.5275
13747,77,0.448,0.026,0.06,2.55e-05,0.0828,0.304,172.004,237147,-1.7690000000000001
13097,4,0.28,0.127,0.0232,0.0158,0.138,0.475,100.409,406200,-2.2555
10803,47,0.714,0.271,0.675,0.0,0.138,0.831,204.096,117013,-3.1525
16219,7,0.632,0.0288,0.101,2.71e-06,0.283,0.236,114.996,165645,-3.3120000000000003
4027,62,0.631,0.0999,0.227,1.43e-06,0.166,0.698,174.031,178333,-2.4195
6851,49,0.721,0.258,0.00521,0.0,0.153,0.712,160.023,241373,-1.5125
23271,61,0.816,0.414,0.616,0.000813,0.127,0.187,140.04,138936,-7.686000000000001
933,37,0.577,0.0656,0.0434,0.000166,0.19,0.416,126.076,160000,-0.933
20816,35,0.888,0.268,0.0228,4.56e-05,0.239,0.865,92.025,160303,-1.6455
8091,68,0.821,0.121,0.247,0.0,0.321,0.962,140.01,185143,-3.891
26886,29,0.674,0.104,0.122,1.63e-06,0.548,0.403,123.987,172258,-1.3679999999999999
5701,56,0.775,0.0886,0.381,0.908,0.113,0.63,140.05,113250,-5.7955
6324,68,0.449,0.14,0.347,1.03e-05,0.197,0.505,134.598,194777,-1.902
13338,42,0.611,0.0303,0.213,0.0,0.136,0.86,121.987,188800,-3.3725
17045,53,0.743,0.045,0.299,0.000693,0.109,0.505,120.012,198000,-4.0985
4889,52,0.454,0.0282,0.91,3.21e-06,0.224,0.327,89.134,193027,-4.319
32703,41,0.588,0.0589,0.00415,0.752,0.696,0.225,128.028,213984,-3.3235
3401,51,0.703,0.0251,0.346,0.000912,0.437,0.695,107.41,230027,-1.9220000000000002
31015,45,0.754,0.0436,0.0335,2.63e-06,0.0777,0.562,95.015,206947,-2.0655
2557,81,0.584,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,-3.6229999999999998
8685,27,0.651,0.179,0.426,1.18e-05,0.221,0.567,81.961,142316,-3.162
28054,54,0.645,0.0387,0.0932,3.88e-06,0.379,0.568,124.915,203520,-0.8069999999999999
16461,42,0.762,0.0665,0.952,0.921,0.116,0.802,134.044,184925,-3.196
12816,36,0.633,0.0691,0.0372,0.000128,0.0755,0.931,127.675,206880,-1.607
20559,1,0.76,0.0667,0.19,0.0,0.696,0.653,114.018,239293,-0.185
6736,60,0.581,0.369,0.117,0.0,0.0534,0.361,200.081,243298,-2.107
11890,5,0.547,0.0403,0.0676,0.0,0.0688,0.732,143.745,359733,-4.3835
25743,19,0.687,0.162,0.0879,9.7e-05,0.313,0.781,106.997,184347,-3.1374999999999997
12223,75,0.596,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,-4.584
32285,30,0.659,0.0319,0.0509,1.45e-05,0.202,0.3,128.028,232524,-2.2275
3355,14,0.619,0.0394,0.00158,0.0357,0.129,0.311,128.002,281904,-3.7704999999999997
18328,67,0.784,0.402,0.00936,0.000132,0.117,0.59,109.978,226720,-3.34
406,26,0.554,0.0367,0.198,0.0,0.0756,0.63,155.912,193417,-1.0725
11800,35,0.671,0.0478,0.422,0.0,0.104,0.466,113.809,248440,-3.5509999999999997
